Index,,,,"Code: EA043 Descent: major type (0=NonFemale Based, 1=Female Based)","Code: EA012 Marital residence with kin: prevailing pattern (0=non female based, 1=Female based)","Code: EA015 Community marriage organization (1=Exogamous, 2=Agamous, 3=Endogamous)",pop_name,language,ID,phoible_id,phoible_id_preferred,ruhlen_id,ruhlen_id_preferred,longitude,latitude
123,Tu,Eb2,xd610,0,0,3,Tu,Tu,Tu,462,462,1968,1968,100,38
124,,,,,,,Tubalar,Northern Altai,Tubalar,,,1960,1960,88,51
125,Turks,Ci5,xd581,0,0,2,Turkish,Turkish,Turkish,,,1935,1935,33,39
126,Ulch,ec18,xd626,0,0,1,Ulchi,Ulch,Ulchi,,,1991,1991,140,52
127,,,,,,,Uygur,Uyghur,Uygur,2612,2612,1941,1941,81,42
128,Manchu,Ed3,xd646,0,0,1,Xibo,Xibe,Xibo,463,463,1986,1986,122,42
129,Oyo Yoruba,Af6,xd240,0,0,3,Yoruba,Yoruba,YRI,636;847;848,847,447,447,4,7
130,Yakut,Ec2,xd628,0,0,1,Yakut,Sakha,Yakut,190;534;2444,190,1956,1956,126,61
131,Lolo,Ed2,xd645,0,0,1,Yi,Nuosu,Yi,2483,2483,2346,2346,102,28
132,Zapotec,Nj10,xd1296,0,0,3,Zapotec,Zapotec,Zapotec,,,5052,5052,-95,16
